ScaleFO,ScaleRes,O1,O2,value,uncertainty
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^3,-34890.482859484735,206.42614731339603
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^3,-34365.85028088647,206.11494077590515
CV->FO,2C0_np->Res,dphi^0,lndphi^3,-34402.22731641367,206.12349935789672
CV->FO,2kappa_np->Res,dphi^0,lndphi^3,-34747.70547168272,206.4075216928233
CV->FO,2MuBeam->Res,dphi^0,lndphi^3,-33300.13580682811,206.08823937741525
CV->FO,2MuBF->Res,dphi^0,lndphi^3,-36774.89933065736,207.02757073847744
CV->FO,2MuCt->Res,dphi^0,lndphi^3,-34645.844133820436,206.29166559022238
CV->FO,2MuFac->Res,dphi^0,lndphi^3,-36907.25822671705,207.19684497621944
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^3,-34732.28187712394,211.5066838944879
CV->FO,2MuHard->Res,dphi^0,lndphi^3,-34942.74850218932,206.30882894421353
CV->FO,2MuSoft->Res,dphi^0,lndphi^3,-34349.243211908426,206.26576645904163
CV->FO,2NuBeam->Res,dphi^0,lndphi^3,-34368.516414318095,206.09261300262753
CV->FO,2NuSoft->Res,dphi^0,lndphi^3,-34894.15389557223,206.43823301364793
0p5MuF->FO,CV->Res,dphi^0,lndphi^3,-34430.52293523304,203.48267982697956
0p5MuRF->FO,CV->Res,dphi^0,lndphi^3,-34628.40705838963,325.7754806798103
0p5MuR->FO,CV->Res,dphi^0,lndphi^3,-34885.259855959805,147.85436115460675
2MuF->FO,CV->Res,dphi^0,lndphi^3,-34826.622893557775,150.64031286805857
2MuRF->FO,CV->Res,dphi^0,lndphi^3,-34606.439253527475,211.62596045216398
2MuR->FO,CV->Res,dphi^0,lndphi^3,-34404.52000420445,219.49070834851472
CV->FO,CV->Res,dphi^0,lndphi^3,-34649.41391374179,206.30932132337054
CV->FO,0p5C0_np->Res,dphi^0,lndphi^4,153320.8493233178,1250.4585387950547
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^4,151119.1300483306,1248.0416905887205
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^4,152210.09366692838,1251.4211718789702
CV->FO,0p5MuBF->Res,dphi^0,lndphi^4,137577.36506096076,1243.8893965109519
CV->FO,0p5MuCt->Res,dphi^0,lndphi^4,151628.6587962384,1248.77172297877
CV->FO,0p5MuFac->Res,dphi^0,lndphi^4,130601.9994072273,1240.2286332101064
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^4,151462.99206409667,1072.9185838212163
