"ScaleFO","ScaleRes","O1","O2","value","uncertainty"
"CV->FO","2MuHard->Res","dphi^0","lndphi^4",149856.9560739647,1671.1662781039256
"CV->FO","2MuSoft->Res","dphi^0","lndphi^4",153430.41223779958,1672.9334431175837
"CV->FO","2NuBeam->Res","dphi^0","lndphi^4",151874.54694567158,1672.3393041480672
"CV->FO","2NuSoft->Res","dphi^0","lndphi^4",151483.46885357922,1672.4412241823595
"0p5MuF->FO","CV->Res","dphi^0","lndphi^4",151283.03007058412,1550.1884914699497
"0p5MuRF->FO","CV->Res","dphi^0","lndphi^4",150727.2589440491,1925.3021723299114
"0p5MuR->FO","CV->Res","dphi^0","lndphi^4",151720.89326822016,1992.2605519265378
"2MuF->FO","CV->Res","dphi^0","lndphi^4",151779.5407556486,1728.1834717098284
"2MuRF->FO","CV->Res","dphi^0","lndphi^4",151901.2022500799,1571.1124473594118
"2MuR->FO","CV->Res","dphi^0","lndphi^4",151721.75017771585,1482.2338536660288
"CV->FO","CV->Res","dphi^0","lndphi^4",151786.24566941877,1672.4663040271862
"CV->FO","0p5C0_np->Res","dphi^0","lndphi^5",-791063.5357747306,19523.050600465853
"CV->FO","0p5kappa_np->Res","dphi^0","lndphi^5",-780130.8583811751,19510.8061514954
"CV->FO","0p5MuBeam->Res","dphi^0","lndphi^5",-721386.668132309,19505.663798407837
"CV->FO","0p5MuBF->Res","dphi^0","lndphi^5",-801043.4820491453,19558.331184500654
"CV->FO","0p5MuCt->Res","dphi^0","lndphi^5",-781950.394943012,19514.721106746965
"CV->FO","0p5MuFac->Res","dphi^0","lndphi^5",-769116.1077681319,19515.984064357828
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^0","lndphi^5",-780779.8873451565,19376.152291015933
"CV->FO","0p5MuHard->Res","dphi^0","lndphi^5",-790819.033717715,19518.57442023314
"CV->FO","0p5MuSoft->Res","dphi^0","lndphi^5",-784119.6145589938,19513.89262343717
"CV->FO","0p5NuBeam->Res","dphi^0","lndphi^5",-780297.876321588,19512.819066161224
"CV->FO","0p5NuSoft->Res","dphi^0","lndphi^5",-782185.6357069873,19513.467097833334
"CV->FO","2C0_np->Res","dphi^0","lndphi^5",-775989.886201983,19508.516540193556
"CV->FO","2kappa_np->Res","dphi^0","lndphi^5",-785179.6798059768,19515.25971718542
"CV->FO","2MuBeam->Res","dphi^0","lndphi^5",-788514.0517216244,19520.75623710926
"CV->FO","2MuBF->Res","dphi^0","lndphi^5",-809526.218514046,19530.819603644337
"CV->FO","2MuCt->Res","dphi^0","lndphi^5",-781925.1301503861,19511.62166298154
"CV->FO","2MuFac->Res","dphi^0","lndphi^5",-760796.63597952,19517.102360055174
"2MuFtran->FO","2MuFtran->Res","dphi^0","lndphi^5",-778906.833942143,19794.454499016894
"CV->FO","2MuHard->Res","dphi^0","lndphi^5",-772362.2626613744,19504.70317946341
"CV->FO","2MuSoft->Res","dphi^0","lndphi^5",-791648.8797697483,19516.334382480956
"CV->FO","2NuBeam->Res","dphi^0","lndphi^5",-783387.0730113474,19517.885558544436
